date,throughput,capacity,rolling_avg_3mo,utilization_pct,utilization_variance
2010-07-01,18.113609354838708,18.113609354838708,18.113609354838708,100.0,
2010-08-01,15.129372225806453,15.129372225806453,16.621490790322582,100.0,0.0
2010-09-01,25.03187643333333,41.49568378114012,19.424952671326164,60.32404855733543,-39.67595144266457
2010-10-01,23.51229280645161,39.42884895679215,21.2245138218638,59.63220694628293,-0.691841611052503
2010-11-01,29.89533996666667,43.88049319384933,26.146503068817207,68.12899717101871,8.496790224735783
2010-12-01,35.271822903225804,35.613153896457426,29.55981855878136,99.04155921089153,30.912562039872824
2011-01-01,45.01293929032258,45.01293929032258,36.72670072007168,100.0,0.9584407891084652
2011-02-01,57.260435214285714,67.79217857142858,45.848399135944696,84.46466306427047,-15.535336935729532
2011-03-01,62.16443319354838,74.40605367652714,54.81260256605223,83.54754770868783,-0.9171153555826379
2011-04-01,59.802060999999995,72.18023155799854,59.742309802611366,82.85102403966052,-0.6965236690273144
2011-05-01,50.34736261290323,73.92909179398528,57.437952268817206,68.1022333578828,-14.74879068177772
2011-06-01,51.058581033333326,68.0465619093026,53.73600154874552,75.03476972339604,6.9325363655132435
2011-07-01,65.13610490322581,66.13871437913522,55.514016183154126,98.48408079092371,23.449311067527674
2011-08-01,61.68324129032258,62.95896849552295,59.292642408960575,97.97371647648406,-0.5103643144396557
2011-09-01,76.3242329,77.26782497177815,67.71452636451613,98.77880337369041,0.8050868972063512
2011-10-01,70.897015,79.97060897284861,69.63482973010753,88.65383909239799,-10.12496428129242
2011-11-01,82.27842796666667,82.27842796666667,76.49989195555555,100.0,11.346160907602012
2011-12-01,80.59673096774193,80.59673096774195,77.9240579781362,99.99999999999997,-2.842170943040401e-14
2012-01-01,85.06946099999999,85.069461,82.64820664480287,99.99999999999997,0.0
2012-02-01,84.61607396551724,86.544,83.42742197775306,97.77231693186963,-2.2276830681303466
2012-03-01,85.55635529032259,85.55635529032259,85.08063008527994,100.0,2.227683068130375
2012-04-01,79.05693763333333,79.05693763333332,83.07645562972438,100.00000000000003,2.842170943040401e-14
2012-05-01,82.68358141935485,84.312,82.43229144767027,98.06858029622694,-1.9314197037730878
2012-06-01,77.97261916666668,85.32,79.90437940645161,91.38844253008284,-6.6801377661440995
2012-07-01,73.79530274193549,85.44,78.15050110931901,86.3709067672466,-5.017535762836246
2012-08-01,80.11892958064516,85.128,77.29561716308244,94.11583683470205,7.744930067455456
2012-09-01,76.9220069,84.55199999999999,76.94541307419355,90.97597561264075,-3.139861222061299
2012-10-01,64.82855919354839,83.73599999999999,73.95649855806451,77.4201767382588,-13.55579887438195
2012-11-01,79.37673956666666,79.37673956666666,73.70910188673835,100.0,22.579823261741197
2012-12-01,83.54616764516129,83.5461676451613,75.91715546845877,99.99999999999997,-2.842170943040401e-14
2013-01-01,86.52000000000001,86.52,83.14763573727599,100.00000000000003,5.684341886080802e-14
2013-02-01,87.36,87.36,85.8087225483871,100.0,-2.842170943040401e-14
2013-03-01,84.47,85.3,86.11666666666667,99.02696365767878,-0.9730363423212225
2013-04-01,84.22999999999999,84.72,85.35333333333334,99.42162417374881,0.39466051607003294
2013-05-01,80.6,84.26,83.09999999999998,95.65630192262044,-3.7653222511283673
2013-06-01,73.15,84.26,79.32666666666667,86.81462140992167,-8.841680512698773
2013-07-01,63.730000000000004,81.72,72.49333333333333,77.98580518844837,-8.828816221473303
